,Short,Long,Rating
12709,Moderate,Good,2
18185,Bad quality,Good but some technical issue after sometime,2
3727,Fabulous.,Very good product for light usage. Work very fine. Print quality is also very good. Got it for only ₹2699,5
15271,Decent product,"Ok ok type not.
Cause some ear pain
Not good but ok type",3
5785,Money waste,Worst,1
14817,Fair,Doesn't fit in ear properly otherwise everything good according to the price,3
12145,Did not meet expectations,"Wire quality is pathetic, broken only after 1 week of average usage. Pathetic quality.
Never ever buy BOULT. Instead go for BOAT OR XIAOMI",1
19426,Moderate,Not Good Not Bad,2
9221,Good,Best product,5
16191,Good choice,Nice quality,4
5458,Happy with product quality,Good product,5
2724,Not the best,It has some heating issues and the wide angle lens is quiet grainy in-terms of picture quality.,1
1331,Decent product,I received the earbud on 16 this in just 12 hrs from Order. It is amazing 😍😍😍 no doubt the package and the delivery was too good 😎 and the sound quality is also awesome and the earbud is also good it was proper set in ears I used for my office use for meeting and was Continuesly was hearing music and movie for the 5 Hrs battery 🔋 backup is also good.. Must buy it in affordable price no one can give such quality thanks to MI,5
12422,Absolute rubbish!,"the pair of boat earphones are better than this. i dunno why people are so happy about the bass. the audio quality is okay, but its not on the loud side and it has average bass quite ironic to its name. the wire look fragile, it might break if handled without care. i only bought this because of the reviews but, to my surprise, the earphones didn't live up to the reviews. that's my honest review.",1
17732,Nice,"One jar is not working
Very powerful motor",3
5657,Nice,Nice and durable,5
21626,Good quality product,Good product,4
4115,114 g not 128 gb,"Just received the pendrive. Looks good (small & compact) but after plugging into my laptop is showing 114 gb and not 128 gb. I think the manufacturer needs to explain it
1st Edit:- The pendrive heats up after transferring some data. Am also getting slow speeds of 15 to 20 mbps for some files and around 40 for others",1
3081,Terrific purchase,"One of the worst purchase i have ever got from amazon..reasons to justify are as below.
1)First of all the outer box is not completely sealed..
2)printer is not a brand new one,its a product returned by someone..we can clearly see the invoice of others..
3)both the ink catridges are missing from this peice.
How can someone dispatch an used item and more over without even seeing wether box has all the products.
Terrific customer experience.",1
22253,Delightful,"Overall good but i feel sleeping trackers is not work properly if u sleep twice or thrice a day or sleep for a short period of 1 or 2 hrs, missing body temperature tracking feature too, display dials are also average, date format is not convenient, its dont add calories burns during other activities to total calories burns during day.. batteries last for 3 to 4 days only.. need much improvement to get 5 star but value for money if compared with other brands",4
438,"Durable, great sound quality and a steal!","The bass is nice and well balanced. The headphones are a steal at ₹499 for me. They work we but can pinch a user on the ears after 2 hours of continuous usage. The fitting could have beeh better.
Pros :
1. Great build quality on the 3.5mm jack and overall sound quality on the headphones is pretty good for the price!
2. Great treble and rock music playback is awesome.
3. A steal at the price, VFM 10/10

Cons:
1. A metallic built headphone unit would have been better. The plastic makes it basic.
2. Not very comfortable to wear.
3. Bass isn't the best. 7/10
Sound quality: 7.5/10
VFM: 9/10",4
16324,Wonderful,"Quality and finishing is good. Sound and bass is really good at this price tag. Using it for the first time, and surely will buy again.",4
18518,Moderate,Screen quality are not good,2
9148,I like werry well,worst product dont buy it speaker has no bass.,5
14428,Bad quality,worst product only after 5 months of use product is not working.,3
3648,Good at this price.,Working good since one year but use genuine catrize with non brand catrize it not works. Software is also very smart. It detect the rifled catrize.,4
5094,"Rubbish, It got corrupted after 1 week","Rubbish, I got this memory card with hopes that I'll record amazing content on my goa trip, but on the last day the memory card got corrupted and all the data is gone, I'm a youtube vlogger.
every money I spent on the trip got waste as the content is now deleted.
Just let me know who is responsible for it??????",1
5845,Nice,Good work,5
10674,Very poor,I did not like this product,1
6608,this is exactly as per my expectations.,This product got malfunctioned within 15 days of purchase. What a pathetic service from a prestigious brand. Please call 9052225011 if you care.,5
3824,Must buy,Nic 1,5
14592,Just okay,This is normal earphones and dont expect more to this ptoduct its ok,3
9536,Zebronics BT6590RUCF 5.1 Channel Multimedia Speakers - Good,"It's wonderful about money
.",5
2396,Amazon is trustable ... genuine product,"At first i was so suspicious to order it from amazon after reading so many negative reviews.... but then also i take a risk to order it from amazon . It got delivered in 4 days and i am completely satisfied with amazon products. It was a new phone not refurbished or clone . And it gives a proper warranty of 1 year .

Returning to product ...

At starting i feel heating while setting up my phone ... i was earlier using Poco F1 so i feel some heat due to it’s glass back ... but it was not much ... slightly warmer at back because of that glass back .

Battery life is very good ... but very slow charging.

Camera is awesome u will love the images ... even in low light .

Gaming performance is brilliant.

Cone is that it’s display is slightly dull ... as its just ips lcd display.

Overall u will enjoy using this phone",5
7456,great deal at just 19000 rs in diwali sale,"I purchase this in 23990rs, but it is awosme, packging was good, assesserios was good , you noting to buy further accessories,",5
