,Short,Long,Rating
0,Bad bad bad quality,It has stopped working within warranty period and Amazon does not show option to return or replace it within warranty period.,1
1,Read my review to avoid ear pain,"This is my honest review after using it for 20 days, in this price range it is best one,the only problem i faced was the ear pain, couldn't wear it for more than 2 minutes, its too much tight, so i made it loose by putting it on my book for 48 hours, rest is good, price, sound, clarity, bass and wire length.",5
2,One Star,Received second hand headphone,1
3,Unbiased review,"Im going to give a small comparison of this product with two of the headphones i have been using recently.
This includes Samsung level u ( rs 2249/) and the ant audio w56 in ear wired earphone ( rs 599/)
Pros
Decent build quality
Excellent sound quality
Apt for watching movies.
Soft cushioning
Mic
Good quality cable
Cons
External noices creeps in a lot ( less noice cancellation effect).
Jack is not gold plated, but I won't complain about it because the gold plating on most of the jacks of headphones in this price range will wear off after a months usage.

On comparing the boat bass heads 900 with the ones mentioned above, I noticed that the bass levels were pretty much equal between the ant audio w56 and boat bass heads 900. Samsung level u has the least bass compared to the other 2
In terms of audio quality, the boat bass heads and Samsung level u are in the same level, the clarity of sound is a bit less in the ant audio w56 compared to the boat .
For outdoor use, I would prefer the ant audio w56 as it has better noice cancellation compared to the boat.
Comfort
I have read some reviews complaining about the boat bass heads 900 that it pains in the ears after a few minutes of usage. But I have not experienced such problems.
Build quality
The plastics used is not the best, but acceptable. Ear pads are well cushioned.
Summary
Overall a really decent product from boat, excellent sound clarity and good bass makes it good for watching movies. Most suitable for indoor usage, good value for money ( bought it for 799 but will be available for 599 at certain times.)
Audio quality 4/5
Bass 3.8/5
Value for money 4/5
Comfort 4/5
Build quality 3.7/5
Thank you for your time.",4
4,Best Bass Heads.... But,"The Boat bass heads really live up to their name by providing amazing Bass for music lovers.
Pros:
1. The design is stylish, especially the white one.
2. The headphone is easily foldable making it convenient to carry.
3. Mic for calls.
4. Excellent Bass.
5. Very Cheap (Bought for around 900 during sale).
6. Durable and lengthy Cable.

Cons:
1. You cannot wear it for more than one hour, beyond which your ears start hurting due to the tight design.
2. Slight distortion at 100% sound levels.",4
5,After 30 days microphone not working,"exactly after 30-32 days,
mic problem, in-line mic not working, and when connected headphones it automatically mutes all volume by reducing audio levels automatically, tested on different mobile phones, problem not solved. Microphone either works or speakers. cannot use headphones for calling purpose. Your voice is not delivered to other end with this headphones. Now I don't have option for replacement or return. Obviously the seller will tell me to go to BoAt service center which is in mumbai city as shows google map and I live in Pune city. Very bad experience, my all money is wasted by this BoAt brand, I should have bought Audio Technica or scullcandy branded headphones in this same price segment. Utterly disappointing.",1
6,Painfull,I had just got this headphones day before yesterday and by seeing them i was happy as they look cool ...But honestly i will tell u that as i wear these headphones like just for 2-4minutes while listening songs...my ears start paining and i remove them but still pain was there for a long time for that day .but yeah song quality is good but still they pain..now today i had request for return of this item,1
7,Worth it!!,"I got this headphone for 599.
the build quality of this thing is pretty good it feels solid
Bass is amazing and overall quality of the sound is also nice no doubt.

I am very satisfied with boAt's after sales services.
my Headphone got an issue with sound (unfortunately) don't worry that doesn't mean you will also have the same issue it was just a 1 in million case
so I went to service center and without asking a single question they got me replaced with another headphones.

one more thing I have to mention that you may feel discomfort after wearing the headphones for quite long, because it is slightly tight, may be eventually it will get loose.",4
8,"Not recommended, wastage of money.",Please don't purchase this product. The one side speaker is off within 2 months. The call was disconnected after connecting this headphones.Very bad product.,1
9,Jack is not gold plated,Awesome Sound but jack is not gold plated!,4
10,Just Go for it,It's a original boat product ... Made in China.... Sound quality is awesome ... Disadvantage- It's going blow ur ears... If u don't like bass then don't buy it,5
11,Extremely good value for money Head phone,"Let us go through the advantage and disadvantage
Advantage
1) Value for money Head set that is a bass monster and clarity is awesome
2) It has a bundled mike so that you can use it to pick up your call on mobile as well.
3) Snug fit to the ear and really responsive sound volume
Disadvantage
1) None

I would recommend this to anyone who is looking for a new headset with mike phone. The music quality is mind blowing, awesome.",5
12,Good buy but hurts the outer ear,The sound quality is excellent but it hurts the ear lobes after wearing them for 30 mins. Need to put extra cushioning the ones available are not enough. Also it does not have the volume buttons included.making it difficult. Otherwise it's a good buy.,3
13,Highly recommended,If u love listening music... If good sound quality .. Good bass matters to u.. Then definitely buy these Headphones.. Extremely good bass and sound quality .. Durable.. Looks wise really awesome.. Noise cancelation is super awesome.. Don't think just go for it guys.. U won't regret buying these headphones at all.. Grantee..,5
14,Everything is good about this headphone,"Everything is good about this headphone. The clarity, noise reduction, bass is all perfect. However after using it for a month the left side stopped working. I raised a complaint with BOAT and within 2 weeks I got a replacement. I appreciate the customer service by BOAT.",4
15,Better than contemporary brands,"I liked the super bass feature and the attached microphone. I purchased SONY headphones and before the year ended and the warranty was over, it was completely DEAD. I hope that BOAT does not end up with the same fate. As one consumer mentioned in the review, when he contacted the makers of the headphone complaining that he should get a replacement for the faulty headphones, the company immediately arranged for a new one. The same happened with me with the SONY product but I got terribly pained running from pillar to post to get a replacement. It NEVER happened. Go for BOAT headphones. They are a value for money. I invested Rs. 799/- and I am truly satisfied with both the microphone and the speaker quality. Thumsb Up !!!",5
16,Distorted sound and poor quality headphones,"The worst headphones i ever bought. Bought these headphones for ₹749 and when i got delivery the left side of the earphones was giving distorted sound

Very bad experience with boat , No sound clearity and no bass quality , its a useless product
I m wondering whats the quality checking of this brand , they dont even test their products single time , very bad experience with boat",1
17,Worth It - Buy it now 😊,"Best In Class.
For 799 Rs (Superdeal) I am shocked with its bass and really suggest you to buy. It also comes with a mic for great hands free voice chat.",5
18,Good for pubg... And has a good grip,Very nice headphone for all pubg mobile players.. I used to use scullcandy headphone before but the way this headphone work is brilliant.. I can identify footsteps and bullets direction more accurately than before.. Only problem is that if you have by mistakely kept high volume and if you fire akm then it might hurt your ears coz already this is a bass headphone and akm or M762's sound is very high which can give you headache or short-term deafening.. So take care of that.. Overall the product is good,5
19,Don't Buy,"Please don't buy this, The product was good, worked well for two weeks. Then suddenly mic was not working. We tried contacting the customer service for Boat. But no response. Service center also not picking up call. Don't know what to do with this product now, as can't return also already crossed the return timeline due to followup with customer service since three weeks. But no action was taken. Also this is made in China. So suggest don't waste your money for this product.",1
20,Must Buy,Good Product decent sound Quality in this price range its way beyond expectations. Must Buy for Pure Bass Lovers,5
21,Mind Blowing...,it has a very nice look and it's worth of money..go for it and there is no chance of repent..,5
22,Poor quality- DON'T BUY IT,"I bought boAt headphone few months back, not more than 6 months. But its right side damaged and sound is not coming. Now what I shall do? I can't take this and go for a service centre to my nearest town which is 90 km away from my place of residence. Only thing I do is I purchase another headphone either from Sony or Phillips. I advice all not to go for boAt headphones. They are not reliable. This is my experience",1
23,Fab bass,"Good looking headphone with mic.
Sound quality is awesome",4
24,No base horrible sound quality! If you want an honest rev just read this,To be honest you guys this headphone sound quality is horrible too much treble I see all other people claiming it has a allot of base but no I’m a base lover there’s no base if you higher up the volume it hurts the ear I didnt expect this I wanna exchange already! This was my first headphone I purchased and Im totally disappointed since I use my apple earpiece it sounds much better than this headphone such a waste of money ! Now another issue it stop working within a month and there is no option to replace also this is a horrible experience ever like thus are the worst thing I’ve ever bought online. Don’t buy it amazon lies!!! There was no option for warranty since they didn’t gave any bill or nothing !!,3
25,Editing this review after 10 months. 🎧,"Editing this review after 10 months, so starting with the pro's

So the Audio quality is good you'll get surrounding feel where it's needed & if you are bass lover then you will like it very much, watching Hollywood movies on it feels great.

Build quality is also good, most of the components made with plastic and then some metallic & the cushions are soft and their material quality is also good.

Now the cons

even though its cushions are soft this headphone is painfull for your ears if you are using it continuously, headphone fits much more tighter on your ears than it has to be so thats why...

I was using this headphone with Lenovo vibe K4 note and suddenly it stopped working with it, it was working fine with every other device but stopped working on my device, even my device working well with every other headphones even i tried another bassheads 900 and it was working with my device but my bassheads 900 stopped working with my phone... i know its strange.
Then few months later right side of headphone stopped working and then soon after left side gave up.

Boat seems very good build quality and sound quality but i experienced 8 out of 10 headphones of boat stops working after some period, But the best thing is if your headphones gets any issue within 1 year then you'll get brand new headphones from Boat, you just have to register product and ask for replacement with details of your headphone issue.
Even i got replacement for my product & it's been 2 years since i purchased this headphone and they are working super fine although i had to replace them once because of issue mentioned above.",4
26,Too Tight on the Ears,"I bought these for my Son. Both of us use the headphones.
The sound quality for the price range is excellent. It got a good Bass, treble could have been sharper. However the biggest issue with this headset, is that it's too tight on the ears ( and I dont have a very big face ).
After about 5 mins, your ears start to hurt ( literally hurt ).
So while, the sound may be good, it's of no use when you cannot use the head set for more than 10 minutes at a stretch.

2 stars only for the reason that these headsets are practically un-usable due to being too tight.",2
27,Best Over the head phones for the price it’s iffered at.,"I have been using the headphones since two days and I must say I am quite impressed. By looking at the photos of the product, I thought these are huge headphones. I was equally surprised to see the small box it came in when opened the Amazon packaging. After I took it out of the box, it felt really light in weight. The build quality of the headphones is good. You don’t feel in anyway that you are holding a cheap product. The fit is really snug. Good amount of cushioning for your years. There is a little bit of cushioning for the headband too which suffices the need. About the sound quality: Listening to music felt good. Nice bass, treble is good, you can hear every sound and tune clearly. However, I felt it needed a bit more sharpness. But hey, what all can you expect from a product at this price. I used it for calls. Voice quality is good. There is a fair amount of booze cancellation on the headphones. Microphone is powerful too. Overall and excellent product for its price. If you are looking for a over the ear headphones and for a good price.... this is your choice.",5
28,Awesome sound quality,"I will come straight to the point. These are infact a great pair of headphones - but only when you are traveling or require active noise cancellation. Otherwise these are just a decent pair.

I have been using this for a while with my laptop & iPhone, for watching Netflix & Prime Video (The Audio Source is anyways brilliant) & listening to music on Prime Music, again, the audio source is great, so I have got a decent experience with the headphones, with nice bass & decent mids. But when you turn the Active noise cancellation, the experience is in a different league - You wont hear any other voice in your vicinity. I have tested this in multiple flights as well. Even if you just turn the noise cancellation on, without any music, it will give a surreal experience, you won't be able to hear any in-cabin flight noise (engines etc.) It has actually helped me have a nice in-flight experience whether to just sleep or watch any movie.

Two things which could have been improved upon are -
1. With out Noise cancellation listening experience.
2. Re chargeable inbuilt battery could have been used.",5
29,Please suggest how can I repair it,I cannot hear any music from the right side,1
30,"It will give u goosebumps,beyond NiRVAnA. Go for it.👍","I have been using BOAT earphone since early thosand 18. And believe me guys this is truly beyond awesome. This is my first purchase after using SONY headphone, SONY is far behind from BOAt, as what i think, after using earphone/headphone of BOAT. I went for this headphone after earpiece of boAt & this is mind boggling. What a sound quality, Hats off 2 the makers of boAt. Awesome bass, treble , u r gonna hear each n every penny of sound clearly. U r gonna be totaly cutoff urself from outer world once u wear this headphone. Its material quality is very good, its totaly durable, light weight. I am giving this review after using 2 week. Dont hesitate go for it guys.",5
31,Very tight ear piece and loose 3.5mm connector.,"The ear-piece is so tight that ears get hurted within a few minutes of wearing it. It has unnecessary clockwise roation instead of anti-clockwise, such that bottom part of my ear doesn't get surrounded...

Even a 5% volume can be heard by a person behind me. And the connector works okay in my laptop, but falls very easily from my mobile phone. Overall product doesn't seems to be sturdy, the wires seems to be can be easily break with just a small strech due to rubber-like substance.

Last time I had used Mdr Zx110a which didn't had sound quality as this, but everything was sturdy, comfortable and still working after two years (with 35+ times falls from height and alot of streches), just that it got fungi right now due to moisture conditions...

There is no return, only replacement with same product available, I have placed just to be sure if its the problem with only this one or every piece got the same problem.",1
32,Bass ka meaning ..,So lets start with build quality it just perfect easily foldable and very light weight had a soft metal strip at top which adjustable according to your head.. the ear coups are small so had some problems with them so there is con and this is only con if u listen to music a lot it best to avoid this since long hours of usage causes pain especially near the ear drum ... Except all the sound quality is just amazing 10/10 for that boat .. also the bass is really good u wiuld be satisfied with that also had a microphone which sounds ok..,5
33,NOT MUCH SATISFIED 😞,"NOT SATISFIED,
1. AMAZING EXPERIENCE WITH MUSIC
2. NOT AT ALL GOOD FOR PUBG PLAYERS, YOU WON'T EXPERIENCE BACKGROUND MUAIC OF PUBG LIKE FOOT STEPS ECT.
3. MUSIC LEAKS VERY MUCH
4. MINE STOPPED WORKING UNDER 20 DAYS
5. IF YOU USE IT ROUGHLY THE AUX WILL DEFINITELY GET DAMAGE
6. THE CORD WIRE IS VERY VERY VERY LONG, WHICH IS VERY IRRITATING.
SOME LAST LINES:-:-
ONLY GOOD FOR MUSIC LOVERS, WHICH USE IT RARELY. NOT GOOD FOR GAMING OR ANYTHING ELSE.
BE FREE TO ASK ANYTHING ELSE ON MY INSTAGRAM :- ayaanshaikh106",1
34,Serious review (from a music producer),"(Ok so, headphones you buy should be based on who you are (music producer, audio engineer, DJ or a regular person).
For non-music produces (normal people):
This headphone is ideal for you. Please don't go for studio-quality or expensive headphones for only listening to music (because expensive headphones are for music producers and require a huge amount of power that can't be used with mobile). It comes with a small microphone in one of the wires, is foldable (easy to store even in small bags). BUT, the ear cups are really small to my ears, get heated quickly, so you can't wear it for a long time comfortably. This headphone can be used with all devices and doesn't need a lot of power like the expensive ones. And if you listen to podcasts, I don't recommend it because it is uncomfortable to wear and has bad noise cancellation feature. But if you use headphones for meetings and listening to music, this is perfect for you.

For music producers and mixing engineers:
I do not recommend these headphones for you. Because if we see the frequency response, it plays sounds from 20-10000 Hz (as far as I can hear). But it plays bass sounds more than other frequencies which can make you biased and wrong decisions while making music and mixing/mastering. Anywhen it comes to power, it is 80 ohms. So please don’t buy ANY cheap headphones for music producing and I recommend buying headphones that have frequency response clearly mentioned (20Hz to 20000Hz is good) with 250 ohms. Such studio-quality headphones are not cheap though. You can see more studio-quality headphone suggestions for producer s on YouTube.
Hope this helps :)",3
35,Recommend to Bass lovers,"It is very very good experience with this headphones. It is recommended to Bass lovers. Good sound quality.
Go through it.",5
36,Value for money.,"I brought this headphone for 750 Rupees. It's really easy to use and I like the sound quality of it. but the only one negativity is that it's very lightweight so from my point of view it can break very easily so should not put it down.
They gave this headphones with one year of warranty card so let's see how long it will be in good condition!! .and one more thing that It has good ratings and more then 30 thousand people brought this products that's why I believe it and brought it .( when its gets problem or not working that time I will update again about this headphones ) otherwise value for money.",4
37,Product Life exactly for 1 year Warranty period,"This Boat Ear phone of mine stopped working in the Mid of April 2020. It did'nt strike me then to check for the warranty period due to this Covid-19 lock down. Now that I am checking the old orders, I find that its just one year since I brought this product and the warranty too is 1 year. It lasted exactly for 1 year not more not less. So the immediate question that comes to my mind is ""Is this the quality of a reputed company ""Boat"" ? I have just missed the boat by few days and that too due to this Covid-19 lockdown. Will this qualify for replacement? Please let me know.",4
38,Great/Awesome/Amazing,"I'm writing the review after 20 months of purchasing and still it is working fine.
Pros:-
1.Best budget headphone with in line
microphone.
2.Great build quality
3.Impressive bass at this price segment
4.Durable
5.Good looking

Cones:-
No cones to discuss.you can't get better headphone than this at this price segment.

I had purchased the black one at Rs749 but price keeps on changing from 749-1399 and sometimes 2199 so if want to buy this at cheaper price wait for sometime.

Precaution- make sure to cover the wire by some protective layer otherwise after 1 year the wires will get several cuts due to folding so to avoid use some protective layer around wires and then you can use this for long time",5
39,Average headphone with more cons than pros,"Writing this review after using this headphone for 4+ months.
Pros:
Build and cable quality is good, no wear and tear in cables.
Tangle free.

Cons:
Absolutely 0 on noise cancellation. At 20% volume level, anyone near you can hear everything.
Painful to use for longer duration, ears starts hurting as the earpiece is not big enough and sits on the ears.
Cannot use it for longer duration.
Bass quality and audio quality is average.",1
40,Do not plan to purchase this product.,"Worst quality headphone.
Not suited for my kind of person's.
Honestly waste of money.
It produces more noise.
Causes earpain.
Not worthy.
Low class headphone.
It consists of many sharp corners that hurts our neck part.
Adjustment feature's not working properly.
Ear pad have less cushioning effect.

Everything I mentioned above is my honest review. After reading my Clause if you still wants to purchase this product means it's all up to you.",1
41,Product beyond expectation. Mind blowing awesome product,"It is a product beyond expectation. Mind blowing stunning product. Sound quality was awesome. Similar product as shown in image . It can easily adapt to our ear. It can be easily folded and is portable. It really worth money .Wonderful product in this range of price. Has an inbuilt in line microphone which allows hands-free call accepting
About the sound quality it is awesome. It is capable of giving the experience of my LG mini hifi system. With greater bass it is awesome.
It is really comfortable to put on ears due to soft cushion like thing provided at the earpiece. It also has a trendy look and is stylish. Sound leak was also less. I am using it from the day I got it and is using till now without any loss in sound quality. Superb product. Got no words to explain it.
Anyway I am satisfied with this product. Once again Amazon proved its quality. If you found this as helpful then please vote helpful below this review",5
42,Quality Package,"Well this Headphone will cater almost all your needs be it Sound Quality, Comfort, Build or Connectivity.
⚫ Sound
You get the best Bass ever if you have been using just earphones.
The bass is not irritating, it's quality Bass as I said. Since it is wired you won't compromise the sound for sure.
I used Real Original Sound Technology on my Realme 1 to boost Bass they gave awesome output, I love the quality.
⚫ Comfort
These are far comfortable than those wireless ones as this neither have battery nor Bluetooth driver so it makes it way lighter.
And regarding how long we can wear it in single use , don't worry about it as I haven't experienced any pain or so at all.
So you can definitely use if you are getting it for your long lectures for your study purpose.
Although I will update this section if I see any problem in my lecture sessions.
⚫ Build
Very comfortable and portable, infact these are flexible too , it takes only a space of a small notebook. The wire is of good length and made of good quality and the input aux has been given extra protection too.
⚫ Connectivity
Since it's wired there are no issues, just plug and use anywhere be it your phone , laptop or iPod .

I got it for Rs700 although sometimes it might be available even in 600.
Even if you get it in Rs800 you won't regret it all
I would say the best Sound experience I got ever just cause of this.
So go for this without any thoughts.",5
43,Pathetic,Honestly i didn't like the product at all.. the bass is not good as it claims high bass sound quality.. it's just ok.. secondly I couldn't even wear the headphone for even 5 min.. my ears started to pain.. i tried many times that that's what it is.. the ear pains.. i wouldn't recommend this product to anyone.. 749rs. Is not a small amount that can wasted on products like this.. A big No from my side..,1
44,Best budget headsets,"The headset is epic at this price point.
The one that make it really good is its bass .The plastics in this gear is also nice and well built.the 3.5mm audio jack in this headphone have a spring on its top and thus protect the cable from cracking or any breakage .The cushioning is also comfortable for this price range.The mic is not that up to the mark but good for this price.",5
45,Cool stuff.,"Nice product. Sound doesn't leak out of ear muffs even at high volume. It means the person next to you won't be able to hear what your girlfriend/boyfriend is talking to you. They can be folded and kept in your small bag.
Continuous use may cause some pain to your ear lobes. Use responsibly.
The claim the wire tangle free. Yes but to large extent.
Am I the only one who felt the length of the chord is too big?
Bought the white one, and it looks cool. People notice you a lot so wear nice clothes. Capitalise!",4
46,"Stopped working in 1 month, Service center is pathetic,","Sound quality and looks is very good, So purchased 3 headphones as such of same model.

One headphone stopped working in 1 month itself. Taken it to Ghaziabad Service center as it said 1 year warranty.

Service center staff inspected it visually and took it inside for verification. Later on returned saying that is has a vertical cut mark on wire some 1 feet from jack. There was no cut when it was given to them and its obvious they made a slight peel cut on wire to void warranty. That too its just a small peel mark on insulation which cant damage inside wires, still they have not entertained warranty.

Such experience was not expected from company like boat!!!! product is good till it works, dont buy seeing warranty support....because its just a eye wash",1
47,Good for the price and bass,"It's a good product, But certainly not the best. It fits tight on the ears and becomes painful wearing after 30 minutes. The tight grip allows you for better bass experience, and this headphone has quite a lot of it.
The wires are strong, and the ease with which you can carry this around is what makes it more interesting.
You buy this because of the price and bass, for that it's a bang on deal. For others who have different requirements and can't adjust with such tight grip and bass, please don't choose this.",4
48,Overall good product but not as good as motorola pulse 2,"Good product overall, but the ear pads are too large and the sponge is a bit unbreathable, comparing to Motorola Pulse 2 at similar proce point , clearly my preference would be Motorola Pulse 2 over this product.
I also feel a bit heavy/louder sound on the right earpiece compared to left one. But that might be clearly a problem with my hearing.
I miss the feature of a completely detachable and replacable headphone cable in this product , which is present in the pulse 2 which makes it really convenient for repairs and long life. If the cable is damaged in pulse 2 you can simple buy an aux cable and you headphone will be good as new. Also the detachable feature protecs the cable from tearing in case of a sudden jolt as the cable simply unplugs in motorola pulse 2.
I wish this feature will abe also available in boat headphones soon enough and that they also make thw ear pads more soft and breathable for extra comfort.",3
49,Best headphones under ₹1000,"The headphones are very comfortable. I am able to wear it for 1-2 hours without any problems.

Sound quality for the price is quite good. And mic works very well. My conference calls are much smoother now.

Noise cancellation is quite good for a basic product. If one was looking in sub ₹1000 range, look no further. Its money well spent.

I have had this for over a month now. Physical look and feel is very good.",5
50,Good Sound but NOT At All Comfortable,"These headphones have good sound quality. But the biggest problem is the comfort level. I and my family members (a total of 4 ) cannot wear this headphones for over 15-20 minutes, after that one starts to get external ear pain, there is definitely something wrong with the design of this headphone. The sound is good, one need not go over level 10/100 in a laptop.
Ear pain after 15 minutes is the biggest problem with this headset. Overall not a very good buy at Rs.800 as I cannot return it, somehow have to live with it or give it to some kids.",3
51,I love it,"Bought it in 799 INR. Writing buying rate is worth in any review cos it helps a new buyer to understand if it is expensive for them or how much increamnt have done the seller.
Let's come to the point.
Noise cancellation is 100% if you are using the highest volume.
Sound quality is also good but it is about 90%.
Bass quality is also equal to sound quality.
I don't no about built quality because I'm not expert in that so let see how long it will go..
Super fast delivery with prime membership in such pandemic situation.

I have small head with less hair to it is bit big for me 😅. See the pick for reference.",4
52,Good product. Don't wear for more than 3 hours.,"The headphones are really good. I brought them for 899 and thought it was worth it. I have been using them for more than a month now, but they are as good as new.

The packaging though was very odd. But you can still use the box. The best part about the headphones is it's spring attacher- the place where headphones connect to the phone, it is very durable and won't cut. It has a steel spring connector.

So, go for this headphones if yiur budget is below 1k and you don't want to fall in the hassle of charging bluetooth headphones.",4
53,Not very reliable after some time,"Headphones have become quite the necessity in these pandemic days of online existence. Whilst they might look sturdy, the majority of them end up looking the worse for wear because of the constant use and contact with sweat. they also develop all kinds of problems, such as the sound coming only through one ear, or crackling, sooner rather than later. No headphone of mine, irrespective of price, has survived for more than two years. This one was also no different. Had to discard it after two years because the sound stopped coming. Before that, there was an odd problem where the head phone took over the YouTube controls and the video would start and stop randomly. Battery life wasn't also all that great.",3
54,The fitting is uncomfortable.,"Dont fall for the large number of ratings.

The headphones fit very uncomfortably tight over the ears.
Plus the earpads are very small.
It is difficult to wear them for even 15 minutes.

Warning to potential buyers - this product is non-returnable and can only be replaced.",1
55,Worth buying,"I love this headphone. Got it for 599. Totally worth for the money. Sound quality is so nice. Every background sounds could be heard accurately. I was surprised at first about how accurate it is. Because I am hearing something that I haven't without this darling and it was so pleasant. The mic and the button on it come handy. Compatible with both my laptop and phone.

Many reviews told that ot was tight and had to do something to loosen up. But I find it most comfortable. You might experience a little pain in ear if you use it for long hours (like more than 6 hours continuously) in beginning. But I don't have that issue anymore.

The price too changes often with the offers. If you are searching for a overhead earphone in nominal price go for it. I'm using it for about 3 months. Absolutely in loving with it.",5
56,No longevity: Forget Longevity there is no Mediumgevity either.,"It works for a period of time then it stops working.Bought this product in June 2018,it worked well for 2 months but then the sound quality was disbalanced By September, got it fixed , received the product after 2 weeks, worked well for 2 months then it stopped working in january,got it fixed, received it after 2 weeks and it was working until February end ,when it stopped working on one side again.I don't know what they do with this product, it stops working again and again.I requested for getting it fixed but the pickup agent says the wire is damaged.If it is damaged, it has been damaged by Boat who give bad products again and again under a guise of warranty.I don't understand how a product could stop working 3 times within 8 months.Please don't buy this or any boat products.",1
