,Short,Long,Rating
0,Absolute rubbish!,"Really very bad. I went for cheapest mobile with 4k RAM and now experiencing issues with cheap products. Neither it has C type USB, nor performance. Quality of front camera is really bad. I hangs and I doubt if it really has 4GB RAM. It doesn't have much volume. Overall, I'm very much dissatisfied if I compare it with my last purchase of Redmi 8A. I have to bear this phone for at least 1 year.
It is like Cheating by Flipkart in the name of cheapest phone with 4GB RAM in addition to cheating by Xiaomi.",1
1,Did not meet expectations,Within 2 weeks PHONE IS GOING TO HANG WROST PRODUCT DONT BUY IT,1
2,Waste of money!,"Worst smart phone waste of money, battery draining fast, camera not good",1
3,Useless product,Please don't buy this.. I bought this on April 22nd and now may 21st it is not working. Can't use for even one month. This is a genuine review and please don't buy this .,1
4,Terrible product,"At this rate features are good but from the starting means newly this mobile is very slow. For now I am not playing the games if I play games on this mobiles I think I have to change this mobile within 6 months because this mobile is very slow it's processor is very slow.
Yes one thing is true at this rate 4gb and 64gb is verry good. But if you ask me I refuse to buy this mobile I don't want to suggest this mobile. It's because of its slow processor",1
5,Utterly Disappointed,Don't by this phone its not look like a 4 gb ram performance like a 2 gb ram hang out and some issues contacts search slow and I buy this phone in 31/12/2020 after one month iam facing mobile hang out I never seen in this type,1
6,Worst experience ever!,Camera too bad,1
7,Absolute rubbish!,"A shopkeeper is selling It at 7500 , so not world it , don't buy high price",1
8,Horrible,"Sorry but quality of the phone is not at all good and now there is new thing here that they don't even refund and replace.camera quality is very poor and performance is also no up to mark. I purchased it for my father but I am personally very disappointed by Flipkart's new policy. I am very old customer of Flipkart. But after trying and talking with n number of times with customer care and raised issue , not got any genuine resolution. Utterly disappointed",1
9,Worthless,Camera quality is not good but fon is fine and battery giving good backup....,1
10,Waste of money!,Really not happy with service and policy...,1
11,Worthless,Third class,1
12,Waste of money!,Camera quality 👎bad,1
13,Not recommended at all,Hanging problem very poor performance,1
14,Did not meet expectations,Don't purchase wrost of money mobile is heating.,1
15,Hated it!,"Very worst mobile with very bad performance I've ever seen. Camera performance is given as 13MP but it is not even equal to 5MP. Brightness is the most important thing to mention here. Even if I keep the brightness at maximum, the lighting is very low. You can't see your mobile in sunlight.",1
16,Did not meet expectations,"Camera totally waste, valuable for money ZERO, you will get better option within this budget. NEVER EVER go for it, looks pe nehi jana. Flipkart have no return policy. Flipkart and Redmi is Selling some piece of JUNK",1
17,Utterly Disappointed,"Bad quality camera, low sound, no fing print censor. Waste of money",1
18,Very poor,"Too much hang problem
You can get much better in these price range
If you're planning to buy these smartphone i Suggest don't go for these",1
19,Don't waste your money,"The phone doesn't work properly
I started hanging just after a week of purchase
Waste of money",1
20,Worst experience ever!,"Very bad camera quality nd display light nd all features very bad
Nd totaly opend mobile before delivery
Bad condition bad quality bad evrthing",1
21,Horrible,Vry bad waste money 20 days after scren diamage.,1
22,Useless product,"The phone is not getting charged .
This is first time from Flipkart that I am getting faulty items. May be manufactured defects but testing is also be done by company.
Time is also spen in troubleshooting.
Don't by Poco C3 MY Experience is very bad",1
23,Hated it!,"Countless pop-ups and tik tok type videos, not suitable of you have younger siblings or kids in your home... They would waste a lot of time over games and videos suggestions from redmi.... These cannot be removed by changes in settings",1
24,Worthless,"except 64gb , nothing is good... camera poor, display poor, no finger print sensor....",1
25,Don't waste your money,"camera is very bad, speed also very slow",1
26,Very poor,Image not quality,1
27,Very poor,voice is very low,1
28,Absolute rubbish!,Wast mobail,1
29,Horrible,It's hanging from 1st day ..,1
30,Waste of money!,Redmi 6a is better than redmi 9i except memory and battery ..performance is poor ....no magnetometer ..,1
31,Very poor,Over heating,1
32,Hated it!,soft ware issue not able to synchronize my contacts too much slow .,1
33,Worthless,Touch screen is not working properly,1
34,Don't waste your money,Average,1
35,Worthless,Camera is very poor,1
36,Absolute rubbish!,"Very bad produced front camera, mobile batteryalso also not good performance",1
37,Did not meet expectations,Simply over rated,1
38,Very poor,Very bad performance,1
39,Did not meet expectations,Battery very poor not get as expected like 5000 MAH,1
40,Don't waste your money,Frequently hanging,1
41,Terrible product,Mobile hang suddenly,1
42,Worthless,"Description mentions India as country of origin. However, the product I recieved is made in China",1
43,Utterly Disappointed,Phone is not good. First day se problem aaraha hai.,1
44,Very poor,"Not as good as it was expected..
Never buy this mobile phone
Thanks",1
45,Utterly Disappointed,"No fingers sensor, I thought it's there,",1
46,Useless product,"Too worst dont buy
Not functional any app and mobile function is so bad not working properly",1
47,Worst experience ever!,"Totally china phone don't purchase worst camera and display also phone is too slow even it has 4 gb ram .better go with motorola or samsung brand don't buy any china phone like oppo ,vivo,real me ,redmi,mi,all are cheap quality china phones",1
48,Utterly Disappointed,"Iam not a happy this phone purchase
1.camera is poor quality
2. 4gb ram Performance normal work.
3. Longest call speaking heating issue phone
4. Only better battery backup is best.

All problem to talking Flipkart customer but my mobile is not return and refund my money not given so iam unhappy this product purchase.... only battery purpose 1 Star given....",1
49,Waste of money!,Very bad experience,1
50,Unsatisfactory,I never saw such a worst mobile it takes nearly 4/5 hours easily for charging.,1
51,Hated it!,Hang mobile very poorly work,1
52,Waste of money!,Not good,1
53,Hated it!,Heating,1
54,Horrible,"Dear filpkart team ,


Charging sockat not work 1 month not completely


Return it. This product .",1
55,Useless product,Good,1
56,Waste of money!,Loss money this phone,1
57,Worst experience ever!,dont buy,1
58,Very poor,Very bad,1
59,Worst experience ever!,"Touch response is very poor , touch hangs many time, it feels like D quality product, don't buy or be quick in return if already ordered",1
60,Did not meet expectations,I did not like tge camera.. also display is bad...,1
61,Utterly Disappointed,disappointing product from Xiaomi. Performance is poor. Camera quality is horrible. Speaker volume is very low. No fingerprint scanner is a bummer.,1
62,Utterly Disappointed,Display sometimes dose not working after 1.5 month ....,1
63,Useless product,cemra cliearity not good,1
64,Absolute rubbish!,I bought it few days ago....worked for 2 days ... thereafter its not working...now its showing return policy ended...no warranty ...no guranteee....beware of this sale,1
65,Absolute rubbish!,"Waste of money
Bad quality of camera",1
66,Don't waste your money,Go for another,1
67,Useless product,Not good,1
68,Not recommended at all,Very very bad product,1
69,Useless product,"Don't buy this , worst phone in the world
😡",1
70,Hated it!,Worst mobile ever it start hanging if you use for 4 months camera is just vomate worst camera,1
71,Not recommended at all,Very Very worst phone,1
72,Did not meet expectations,The phone is become off at the 2 nd day .And flashing problem also so I want replacement of the product.It is a bad experience from flipkart.,1
73,Useless product,It is waste of money,1
74,Unsatisfactory,Not bad,1
75,Absolute rubbish!,All phones of redmi are not good. Bogus quality of redmi. Other companies are best in android phones.,1
76,Unsatisfactory,Touch problem,1
77,Useless product,"Volume is very low, not clearly audible even after full sound in speaker,",1
78,Hated it!,Never buy this phone by mistake,1
79,Horrible,No gud mobile is Hanke,1
80,Don't waste your money,Bet in rize,1
81,Not recommended at all,"I highly recommend everyone who is looking toward this product it is just waste of money
It's screen is not working properly
It's speakers are not good
Garbage
Garbage
Garbage",1
82,Don't waste your money,all time hang problem,1
83,Not recommended at all,Very poor mobile,1
84,Very poor,"Poor quality Phone, I am not satisfied.",1
85,Utterly Disappointed,"Worst , don't take any items in flipcart .,
They didn't value of customer and money too
This is second time am order item but every time sending wrong items nonsence
Am not happy very bad",1
86,Don't waste your money,Camera not good i hate it don't buy this phone 😡😡🤬👎👎,1
87,Terrible product,Product was damaged,1
88,Waste of money!,cheap proccesser bad camera no fingure print scanner overall bad phone ever,1
89,Very poor,"Very very worst product mobile
Waste",1
90,Not recommended at all,Not up to the mark,1
91,Waste of money!,Worst this phone don't buy this product,1
92,Worthless,Worst mobile,1
93,Not recommended at all,Mobile is best but camera verry bad,1
94,Don't waste your money,Very bed phone,1
95,Don't waste your money,Bad,1
96,Very poor,Old mobile received,1
97,Utterly Disappointed,Camera & Display Quality very bad,1
98,Useless product,"Sound very low recordings, video calling, and audio call sound veery baat",1
99,Worthless,Worst mobile ever .....if u want to waste your Money ..you can buy this phone...💯,1
100,Worthless,Very very bad,1
101,Hated it!,"Worst mobile, it is not value for money. Nokia 2 MP camera was better than 9i 13 MP, even front camera is not good. Sound quality is like Chinese mobile.",1
102,Waste of money!,Bad quality,1
103,Hated it!,Because it have not any special features,1
104,Hated it!,Got the damaged phone.,1
105,Useless product,Very bad,1
106,Terrible product,Very bed,1
107,Not recommended at all,Bed,1
108,Worst experience ever!,"Not satisfied battery drain 90%to 10 in only 5 min
Service centeres ask to visit after 10 days
Worst product",1
109,Did not meet expectations,It is not good for online class,1
110,Unsatisfactory,This product fake note display work and heat mobile defective product,1
111,Not recommended at all,Defective mobiles,1
112,Unsatisfactory,OK good,1
113,Useless product,Camera quality is not good also internet speed are less,1
114,Very poor,Don't buy it .worst phone ever used,1
115,Absolute rubbish!,Worst,1
116,Don't waste your money,Worst phone. Sound quality is not good.,1
117,Hated it!,Camera is not good,1
118,Terrible product,Flipkart is very worst,1
119,Terrible product,Local,1
120,Waste of money!,"I want to return this mobile, due to camera quality, my children is not able to click image and send to school, I purchased this mobile for my children for online class,",1
121,Did not meet expectations,Very very very bad mobile,1
122,Not recommended at all,Video voice is very worst,1
123,Terrible product,Very bad his software very bad,1
124,Hated it!,Very bad,1
125,Absolute rubbish!,Bad phone sound and use,1
126,Utterly Disappointed,Camera poor quality,1
127,Terrible product,Don't buy this model,1
128,Utterly Disappointed,Somthing ok,1
129,Unsatisfactory,Very bad camera photo rivese,1
130,Utterly Disappointed,I have received defected product plz don't buy it,1
131,Don't waste your money,"Disappointed this mobile due to hanging the mobile always and network not connecting properly for usage
So not recommended to buy this mobile and care about this.mobile and this brand",1
132,Waste of money!,Very disapponted with flipkart. Got a faulty product. The mobile get automatically display off... Not even to make single action in mobile...,1
133,Very poor,Good quality nice one,1
134,Utterly Disappointed,"Worst phone ever in Redmi series, start hanging too much just after 1 month.",1
135,Don't waste your money,Poor quality,1
136,Not recommended at all,"Worst quality sound is worst, camera also very poor quality,",1
137,Terrible product,"Worst mobile
Processer is very low
Speaker sound also very low
Service also very bad and worst.",1
138,Don't waste your money,Wrost camera heating problem,1
139,Unsatisfactory,"No fingerprint sensor
Both Camera’s are total waste
Processing too slow
If you want to waste your money like I did
Please buy this phone else don’t.",1
140,Did not meet expectations,Worst phone money waste product,1
141,Utterly Disappointed,The phone is falsely hot and the camera quality is bad. I applied for the replacement but the replacement did not happen. So Flipkart + redmi team is very bad. so please do not take the phone. flip cart is not support thank you,1
142,Hated it!,I get defective piece.. But filpkart give me refunds...,1
143,Worst experience ever!,Camera quality very poor,1
144,Absolute rubbish!,I got a faulty product. Charging stopped after a day. Jeeves technician checked and confirmed that the item had manufacturing defects. Returned the product and requested for refund.,1
145,Very poor,Worst phone ever,1
146,Utterly Disappointed,"Getting issues ever since got this phone. Camera, screen, nothing is responding and Flipkart denied to help. This is the first time Flipkart disappointed me with their service and probably the last because after this incident I am not going to order anything from them.",1
147,Terrible product,Waste don't buy,1
148,Utterly Disappointed,Very poor this phone automatic switch off i complain not accept bad flipkart,1
149,Brilliant,Good,1
150,Absolute rubbish!,On 10th day mobile hanged nothing is working... Touch not working,1
151,Horrible,Hang with in 10 days,1
152,Utterly Disappointed,"This is d worst phone don't buy, waste of money I don't like it",1
153,Did not meet expectations,Product is not working,1
154,Terrible product,Bad phone don't buy this,1
155,Utterly Disappointed,Bluetooth is nothing working properly.,1
156,Did not meet expectations,Don't buy this phone. Waste of money. Mobile sound is very low. Camera is not good. Mi remote function is not available. I hate this phone..,1
157,Hated it!,"Picture is not sharp, mobile hangs, and mobile becomes slow at time of browsing internet",1
158,Very poor,This phone is REDMI 9A. I has upgraded to redmi 9i.So when we look model name it shown redmi 9i. But actually it is not redmi 9i. This phone is redmi 9A. After it has upgraded to 9i. Don't buy. Flipkart also not supporting to get money back. I didn't get any reply from flipkart until now. So go for another mobiles. Don't waste your money to buy redmi 9i.,1
159,Worst experience ever!,"In these price mobile is not good
Not waste your money in these mobile. You go with any other mobile brand.",1
160,Absolute rubbish!,On 10th day mobile hanged nothing is working... Touch not working,1
161,Horrible,Hang with in 10 days,1
162,Utterly Disappointed,"This is d worst phone don't buy, waste of money I don't like it",1
163,Did not meet expectations,Product is not working,1
164,Terrible product,Bad phone don't buy this,1
165,Utterly Disappointed,Bluetooth is nothing working properly.,1
