,Short,Long,Rating
0,Moderate,Oximeter is resulting same for everyone one 99 always... Display is not good,2
1,Moderate,Wast of money.,2
2,Moderate,Watch Is slow to operate Motion sensing is slow... No O2 sensor in it no bp monitor.watch faces are not properly deaigned..,2
3,Slightly disappointed,Not worth it.,2
4,Moderate,"After one month Bluetooth is not working, bad product",2
5,Slightly disappointed,The actual display in smaller than shown in the images.,2
6,Could be way better,Blood pressure and blood oxygen is not accurate.,2
7,Could be way better,Average watch,2
8,Expected a better product,i used it for more than a week and i found this watch is very normal with minimal features.. spo2 and blood pressure heart rate monitor they all not working properly,2
9,Slightly disappointed,Smart arch to boat applications so many dunking issues there. Daily setting continue in. App uninstall & downloud. Heritating failure in boat applicatin,2
10,Moderate,Build Quality don't look premium,2
11,Moderate,"Don't waste ur money.
Very Bad watch and poor connectivity app",2
12,Could be way better,Blueetoth is not connecting,2
13,Could be way better,"Sensor is not working well
Battery backup max 5-7 days
Wakeup is too late to on
Call notification to late to notify",2
14,Bad quality,Side button stopped working in 3 months. Body and screen prone to scratches,2
15,Moderate,Connecting product problem,2
16,Moderate,"Activity tracker 🙄just waste of money,
disappointed",2
17,Moderate,battery life not good & msg not delievered instagram & facebook if i opened msg notification alert .,2
18,Not good,not Acurate result,2
19,Moderate,Strap is very loosely bind.... Connectivity is not proper as mentioned in features normal calls are not getting alerted by watch what's app n other media connetivity is OK OK..... ☹️,2
20,Slightly disappointed,Bluetooth and notifications working very slow don't buy this item everyone,2
21,Bad quality,"Product look wise good price also low, but Bp, heart rate data not correct as compare medical equipment Bluetooth also auto disconnected issue.
only call disconnected notify avl, other app notification not avl.",2
22,Slightly disappointed,"Very poor connectivity. Very often disconnecting, enhancement is required for the App",2
23,Not good,"I adress to everyone who want to buy this watch I had ordered this and claim refund for this in two days many more issues in this watch
1.poor activities tracking
2. Poor connectivity with pro gear app of boat every time synchronisation the steps gets short which you walk
3.bp monitoring ❤️ rate monitoring are not uptomark
4. Battery was ok
5. Music connectivity is poor
6. Sms not able to view and calls are coming not picked through watch",2
24,Slightly disappointed,"(PS: Personal Opinions and Observations after a months usage)
Built Quality and interface is exactly same as Go Noise Colour fit pro 2
Battery life is good, lasts a week

Hepatic feedback is very poor, you tend to miss the notifications
Notifications are delayed, there are times where notifications were delivered after 24 hours
The app is very poor, it will sync your watch everytime you open the app
It takes ages to set the watch faces
Heart Rate monitor and Oxygen levels are very much off as compared to other measuring devices

Overall a poor experience, wasn't expecting this from Boat
Mi bands are better in every feature that this watch offers at same price tag",2
25,Not good,"Watch is good but App is worst.
watch tracks the step count, but when we try to sync with the App, suddenly all steps get reset and go to zero.
This is very disappointing. As a smart watch step counter is a very basic feature and that is also not syncing correctly.

Giving 1 star due to the App, this is really annoying. Even automatic heartrate monitor doesnt seem to work.",2
26,Moderate,No call notification,2
27,Expected a better product,No happy,2
28,Slightly disappointed,Wast pordat,2
29,Moderate,Strap is very loosely bind.... Connectivity is not proper as mentioned in features normal calls are not getting alerted by watch what's app n other media connetivity is OK OK..... ☹️,2
30,Slightly disappointed,Bluetooth and notifications working very slow don't buy this item everyone,2
31,Bad quality,"Product look wise good price also low, but Bp, heart rate data not correct as compare medical equipment Bluetooth also auto disconnected issue.
only call disconnected notify avl, other app notification not avl.",2
32,Slightly disappointed,"Very poor connectivity. Very often disconnecting, enhancement is required for the App",2
33,Not good,"I adress to everyone who want to buy this watch I had ordered this and claim refund for this in two days many more issues in this watch
1.poor activities tracking
2. Poor connectivity with pro gear app of boat every time synchronisation the steps gets short which you walk
3.bp monitoring ❤️ rate monitoring are not uptomark
4. Battery was ok
5. Music connectivity is poor
6. Sms not able to view and calls are coming not picked through watch",2
34,Slightly disappointed,"(PS: Personal Opinions and Observations after a months usage)
Built Quality and interface is exactly same as Go Noise Colour fit pro 2
Battery life is good, lasts a week

Hepatic feedback is very poor, you tend to miss the notifications
Notifications are delayed, there are times where notifications were delivered after 24 hours
The app is very poor, it will sync your watch everytime you open the app
It takes ages to set the watch faces
Heart Rate monitor and Oxygen levels are very much off as compared to other measuring devices

Overall a poor experience, wasn't expecting this from Boat
Mi bands are better in every feature that this watch offers at same price tag",2
